day,sum,count,wins
2026-08-10,-205.8105794925802,5,2.0
2026-08-11,55.44122285189869,5,3.0
2026-08-12,-546.9771264416415,5,1.0
2026-08-13,-378.78156565319057,5,2.0
2026-08-14,115.89895068307601,5,3.0
2026-08-17,-186.5997444257713,5,2.0
2026-08-18,-298.8006586766147,5,2.0
2026-08-19,-854.9306369370986,5,1.0
2026-08-20,-794.4583397278602,5,0.0
2026-08-21,-26.008621510802755,5,2.0
2026-08-24,-295.89982749485966,5,1.0
2026-08-25,-788.1003452964402,5,1.0
2026-08-26,-84.43927822714971,5,2.0
2026-08-27,-1191.1096649550796,5,0.0
2026-08-28,-797.1846095328597,5,0.0
2026-08-31,-1027.1389087482814,5,1.0
2026-09-01,-654.8427227879349,5,1.0
2026-09-02,-64.42282091000499,5,2.0
2026-09-03,-848.6519433888575,5,0.0
2026-09-04,254.62424195273076,5,2.0
2026-09-07,-658.5781347115826,5,0.0
2026-09-08,-1260.9541911690196,5,0.0
2026-09-09,-123.07716604867142,5,1.0
2026-09-10,-311.4471604161551,5,3.0
2026-09-11,-505.7747986801745,5,1.0
2026-09-15,94.19679019417435,5,2.0
2026-09-16,-147.6300896913358,5,2.0
2026-09-17,-612.7800858330999,5,2.0
2026-09-18,-300.70560578105017,5,3.0
